100,Appliances,2,1
101,Kitchen Essentials,2,1
102,Vacuums/Floorcare,2,1
103,Home Audio,2,1
104,Digital Cameras,2,1
105,Camcorders,2,1
106,Home Video,2,1
107,Televisions,2,1
108,Portable Audio,2,1
109,Small Electronics,2,1
110,Mobile Electronics,2,1
111,Satellite Radio,2,1
112,Phones,2,1
114,Computers,2,1
115,Home Office,2,1
119,TV Stands & Mounts,2,1
120,Games & Gifts,2,1
121,Connected Living,2,1
122,Tools,2,1
123,Furniture,2,1
200,Air Conditioners,100,1
201,"5,000 to 9,000 Btu Units",200,3
203,"10,000 to 15,000 Btu Units",200,2
204,"18,000 Btu Units & Above",200,2
205,Front-Load Washers,211,1
206,Portable A/C Units,200,1
207,Dishwashers,100,1
208,Portable Dishwashers,207,1
209,Built-in Dishwashers,207,3
210,Disposers,207,1
211,Laundry,100,1
212,Top-Load Washers,211,5
213,Gas Dryers,211,1
214,Electric Dryers,211,1
215,Combo Laundry Units,211,1
216,Microwave Ovens,100,1
217,Counter Top,216,3
218,Over The Range,216,2
219,Micro/Convection,216,1
220,Ranges/Cooktops/Built-ins,100,1
221,Cooktops,220,3
222,Wall Ovens,220,3
223,Electric Ranges,220,7
224,Gas Ranges,220,6
225,Range Hoods,220,2
226,Refrigerators,100,1
227,Compact,226,2
228,Top Mount,226,12
229,Side-by-sides,226,7
230,Bottom Mount,226,2
231,Freezers,100,1
232,Chest Freezers,231,3
233,Upright Freezers,231,3
234,Wine & Beer Storage,100,1
235,Outdoor BBQ Grills,100,1
236,Fans/Heaters/Air Cleaners,100,1
237,Fans,236,1
238,Heaters,236,1
239,Humidifiers/Dehumidifiers,100,1
240,Humidifiers,239,1
241,Dehumidifiers,239,3
242,Air Cleaners,236,1
243,Coffee Makers & Essentials,101,6
244,Mixers/Blender/Juicers,101,5
245,Cookers/Fryers/Grills,101,8
246,Can Openers/Electric Knives,101,3
247,Toasters/Toaster Ovens,101,3
248,Processors/Choppers,101,4
249,Skillets/Griddles,101,2
250,Cookware/Bakeware,101,1
251,Cutlery/Cooking Utensils,101,13
252,Miscellaneous Household  Items,101,14
253,Dyson Vacuums,100,2
254,3D Televisions,107,45
255,3D Televisions,290,46
256,Shoot & Share Camcorders,105,1
257,Shelf Systems,103,7
258,Home Theater/Soundbars,103,7
259,CD Players & Recorders,103,1
260,CD Players,259,2
261,CD Recorders,259,1
262,Cassette Decks,103,4
263,Receivers,103,5
264,Speakers,103,1
265,Bookshelf Speakers,264,2
266,Floor Speakers,264,2
267,In-wall Speakers,264,1
268,Subwoofers,264,1
269,Center Channel Speakers,264,1
270,Multi-speaker Systems,264,1
271,Turntables,103,1
272,Digital Cameras,104,1
273,Hard-Drive Camcorders,105,1
274,Flash Memory Camcorders,105,1
275,High-Def Camcorders,105,1
276,Mini-DV Camcorders,105,1
277,DVD Camcorders,105,1
278,Portable DVD Players,106,1
279,Blu-Ray,106,2
280,DVD Players,106,2
281,VHS/DVD Players,106,1
282,Sound Bar Speakers,264,1
283,DVD Recorders,106,1
284,Combo DVD Recorders,106,1
285,Digital Satellite Systems,106,1
286,HDTV Satellite Receivers,106,1
287,TIVO/Hard Disc Receivers,106,3
288,4K UHD,290,10
289,Plasma TVs,290,8
290,HDTVs,107,1
291,LED TVs,290,10
292,Projection TVs - HDTV,290,1
293,Humidifier Accessories,239,1
294,4K UHD,107,10
295,OLED TVS,107,1
295,OLED TVs,107,2
296,LED TVs,107,10
298,Plasma TVs,107,8
299,Home Theater Projectors,107,1
300,"60"" and Larger",107,9
301,"40"" to 59""",107,16
302,"21"" to 39""",107,6
303,"Up To 20""",107,6
304,TV/DVD Combo,107,3
305,Undercounter TVs,107,1
306,Wireless Audio,108,1
307,AirPlay Products,108,1
308,MP3/IPod Players,108,2
309,Ipod Accessories,108,1
